period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow,revenue_qoq_pct,fcf_qoq_pct,fcf_margin_pct,revenue_ttm,fcf_ttm,fcf_margin_ttm_pct,revenue_ttm_yoy_pct,fcf_ttm_yoy_pct
2021-06-30,3929000000,-341000000,-57000000,4767000000,9755000000,57000000.0,-398000000.0,35.34274888046849,-41.64222873900293,-10.129804021379487,12810000000.0,-2545000000.0,-19.86729117876659,-1.7863988346239368,-47.891072891072895
2021-03-31,2903000000,-611000000,-71000000,5083000000,9764000000,71000000.0,-682000000.0,-8.278041074249609,-26.50862068965517,-23.49293833964864,10794000000.0,-3382000000.0,-31.332221604595144,-24.49636261891438,-28.33227378681924
2020-12-31,3165000000,-805000000,-123000000,5897000000,10374000000,123000000.0,-928000000.0,12.513330963384295,72.8119180633147,-29.320695102685622,11139000000.0,-3361000000.0,-30.173265104587486,-21.26245847176079,-31.533917294764713
2020-09-30,2813000000,-406000000,-131000000,6372000000,9922000000,131000000.0,-537000000.0,47.046523784631475,-56.518218623481786,-19.089939566299325,12043000000.0,-4414000000.0,-36.65199701071162,-7.7306159975482736,16.005256241787123
2020-06-30,1913000000,-1071000000,-164000000,6877000000,9415000000,164000000.0,-1235000000.0,-41.10221674876847,86.83812405446294,-64.55828541557763,13043000000.0,-4884000000.0,-37.44537299700989,,
2020-03-31,3248000000,-463000000,-198000000,8358000000,9324000000,198000000.0,-661000000.0,-20.176947652985987,-66.63301362948006,-20.35098522167488,14296000000.0,-4719000000.0,-33.00923335198657,,
2019-12-31,4069000000,-1799000000,-182000000,10972000000,7761000000,182000000.0,-1981000000.0,6.713873590348807,96.72293942403178,-48.68518063406243,14147000000.0,-4909000000.0,-34.699936382271865,,
2019-09-30,3813000000,-878000000,-129000000,12683000000,7576000000,129000000.0,-1007000000.0,20.435881238155407,-5.887850467289724,-26.409651193286127,13052000000.0,-3805000000.0,-29.152620288078456,,
2019-06-30,3166000000,-922000000,-148000000,11881000000,6193000000,148000000.0,-1070000000.0,2.161987737979998,25.734430082256175,-33.79658875552748,,,,,
2019-03-31,3099000000,-722000000,-129000000,5881000000,10388000000,129000000.0,-851000000.0,4.203093476798925,-2.9646522234891726,-27.46047111971604,,,,,
2018-12-31,2974000000,-681000000,-196000000,6473000000,9521000000,196000000.0,-877000000.0,,,-29.488903833221254,,,,,
