ticker,period_end,revenue,operating_cash_flow,capex_raw,cash,debt,capex_spend,free_cash_flow
GM,2018-09-30,35791000000,3673000000,-6140000000,18435000000,102340000000,6140000000.0,-2467000000.0
GM,2018-06-30,36760000000,5105000000,-6705000000,15087000000,98259000000,6705000000.0,-1600000000.0
GM,2018-03-31,36099000000,448000000,-6768000000,14256000000,98818000000,6768000000.0,-6320000000.0
GM,2017-12-31,37715000000,6888000000,-6471000000,15512000000,94219000000,6471000000.0,417000000.0
GM,2017-09-30,33623000000,2881000000,-7092000000,12792000000,92673000000,7092000000.0,-4211000000.0
GM,2017-06-30,36984000000,5518000000,-7613000000,16598000000,89089000000,7613000000.0,-2095000000.0
GM,2017-03-31,41200000000,2041000000,-6457000000,12864000000,90901000000,6457000000.0,-4416000000.0
GM,2016-12-31,43918000000,4016000000,-7209000000,12960000000,75123000000,7209000000.0,-3193000000.0
GM,2016-09-30,42825000000,6570000000,-6884000000,15932000000,79100000000,6884000000.0,-314000000.0
GM,2016-06-30,42372000000,6127000000,-6781000000,18923000000,75320000000,6781000000.0,-654000000.0
GM,2016-03-31,37265000000,-108000000,-7396000000,14894000000,71149000000,7396000000.0,-7504000000.0
LYFT,2025-12-31,1592711000,279461000,-18602000,1132009000,1276733000,18602000.0,260859000.0
LYFT,2025-09-30,1685195000,291251000,-13434000,1305908000,1273500000,13434000.0,277817000.0
LYFT,2025-06-30,1588183000,343728000,-14286000,913845000,769668000,14286000.0,329442000.0
LYFT,2025-03-31,1450172000,287234000,-6500000,985494000,1182803000,6500000.0,280734000.0
LYFT,2024-12-31,1550277000,153366000,-13415000,759319000,1172313000,13415000.0,139951000.0
LYFT,2024-09-30,1522692000,263992000,-21150000,770298000,1149930000,21150000.0,242842000.0
LYFT,2024-06-30,1435846000,276202000,-19798999,604357000,1163871000,19798999.0,256403001.0
LYFT,2024-03-31,1277201000,156177000,-29106000,507918000,1139561000,29106000.0,127071000.0
LYFT,2023-12-31,1224585000,43508000,-28569000,558636000,1041818000,28569000.0,14939000.0
LYFT,2023-09-30,1157550000,2261000,-32275000,590541000,1044482000,32275000.0,-30014000.0
LYFT,2023-06-30,1020906000,-69973000,-42176000,638434000,1028663000,42176000.0,-112149000.0
LYFT,2023-03-31,1000548000,-74040000,-46799000,509576000,1026767000,46799000.0,-120839000.0
LYFT,2022-12-31,1174992000,-33559000,-32569000,281090000,1061653000,32569000.0,-66128000.0
LYFT,2022-09-30,1053820000,-26195000,-29091000,143715000,1078435000,29091000.0,-55286000.0
LYFT,2022-06-30,990748000,-25188000,-23000000,239299000,1098655000,23000000.0,-48188000.0
LYFT,2022-03-31,875575000,-152343000,-30310000,214868000,1095053000,30310000.0,-182653000.0
LYFT,2021-12-31,969933000,-26219000,-22500000,457325000,975434000,22500000.0,-48719000.0
LYFT,2021-09-30,864405000,41530000,-36162000,728382000,989818000,36162000.0,5368000.0
LYFT,2021-06-30,765025000,-37568000,-9829000,484181000,992537000,9829000.0,-47397000.0
LYFT,2021-03-31,608960000,-79464000,-10685000,312230000,995433000,10685000.0,-90149000.0
LYFT,2020-12-31,569880000,-264613000,-22795000,319734000,995090000,22795000.0,-287408000.0
LYFT,2020-09-30,499744000,-155638000,-14609000,424806000,986950000,14609000.0,-170247000.0
LYFT,2020-06-30,339345000,-751722000,-21759000,841061000,1004261000,21759000.0,-773481000.0
LYFT,2020-03-31,955712000,-206926000,-34476000,597889000,478096000,34476000.0,-241402000.0
LYFT,2019-12-31,1017070000,-46191000,-49657000,358319000,476276000,49657000.0,-95848000.0
LYFT,2019-09-30,955598000,10000000,-60146000,543871000,448035000,60146000.0,-50146000.0
LYFT,2019-06-30,867265000,15316000,-43159000,417393000,387622000,43159000.0,-27843000.0
LYFT,2019-03-31,776027000,-84827000,-25126000,329515000,337431000,25126000.0,-109953000.0
LYFT,2018-12-31,669565000,-133093000,-40238000,517690000,0,40238000.0,-173331000.0
LYFT,2018-03-31,397188000,-79623000,-3088000,-2390744000,0,3088000.0,-82711000.0
DASH,2025-09-30,3446000000,871000000,-148000000,3279000000,3257000000,148000000.0,723000000.0
DASH,2025-06-30,3284000000,504000000,-149000000,3911000000,3251000000,149000000.0,355000000.0
DASH,2025-03-31,3032000000,635000000,-141000000,4500000000,527000000,141000000.0,494000000.0
DASH,2024-12-31,2873000000,518000000,-98000000,4019000000,536000000,98000000.0,420000000.0
DASH,2024-09-30,2706000000,531000000,-87000000,3664000000,532000000,87000000.0,444000000.0
DASH,2024-06-30,2630000000,530000000,-79000000,3430000000,534000000,79000000.0,451000000.0
DASH,2024-03-31,2513000000,553000000,-66000000,3124000000,547000000,66000000.0,487000000.0
DASH,2023-12-31,2303000000,485000000,-87000000,2656000000,522000000,87000000.0,398000000.0
DASH,2023-09-30,2164000000,398000000,-74000000,2344000000,493000000,74000000.0,324000000.0
DASH,2023-06-30,2133000000,393000000,-82000000,1904000000,498000000,82000000.0,311000000.0
DASH,2023-03-31,2035000000,397000000,-81000000,1833000000,492000000,81000000.0,316000000.0
DASH,2022-12-31,1818000000,23000000,-96000000,1977000000,511000000,96000000.0,-73000000.0
DASH,2022-09-30,1701000000,199000000,-100000000,2320000000,505000000,100000000.0,99000000.0
DASH,2022-06-30,1608000000,165000000,-79000000,2727000000,496000000,79000000.0,86000000.0
DASH,2022-03-31,1456000000,-20000000,-71000000,2243000000,422000000,71000000.0,-91000000.0
DASH,2021-12-31,1300000000,167000000,-70000000,2504000000,399000000,70000000.0,97000000.0
DASH,2021-09-30,1275000000,107000000,-59000000,2861000000,366000000,59000000.0,48000000.0
DASH,2021-06-30,1236000000,252000000,-54000000,3334000000,321000000,54000000.0,198000000.0
DASH,2021-03-31,1077000000,166000000,-54000000,4007000000,259000000,54000000.0,112000000.0
DASH,2020-12-31,970000000,-63000000,-37000000,4345000000,617000000,37000000.0,-100000000.0
DASH,2020-09-30,879000000,230000000,-64000000,1096000000,606000000,64000000.0,166000000.0
DASH,2020-06-30,675000000,210000000,-26000000,995000000,592000000,26000000.0,184000000.0
DASH,2019-12-31,298000000,-159000000,-34000000,257000000,184000000,34000000.0,-193000000.0
